"Status","Name","Duration in ms","Description"
"passed","web.searchMediaTests.webEmptySearchTest","4102",""
"passed","web.searchMediaTests.webSearchMovieTest","4653",""
"passed","web.addTvShowToFavoriteTests.webAddingTvShowToFavoriteTest","4503",""
"passed","api.RateMediaTests.apiRateMovieTest","3273",""
"passed","api.CheckMediaListsTests.apiGetDetailsPlayListTest","585",""
"broken","api.CheckMediaListsTests.apiAddTvShowToPlayListTest","2800",""
"passed","web.searchMediaTests.webSearchTvShowTest","3987",""
"passed","api.SearchTests.webSearchTvShowTest","91",""
"passed","api.AddMediaToWatchlistTests.apiAddTvShowToFavoriteTest","3431",""
"passed","web.searchMediaTests.webSearchMovieTest","4256",""
"passed","api.CheckMediaListsTests.apiClearAllMediaFromListsTest","5708",""
"passed","api.CheckMediaListsTests.apiCreatePlayListTest","139",""
"passed","api.SearchTests.webSearchMovieTest","90",""
"passed","api.CheckMediaListsTests.apiRemoveTvShowFromPlayListTest","3024",""
"passed","api.RateMediaTests.apiRateTvShowTest","3307",""
"passed","api.AddMediaToFavoriteTests.apiAddingTvShowsToFavoriteTest","3515",""
"passed","web.addMovieToFavoriteTests.webAddingMovieToFavoriteTest","4993",""
"passed","api.CheckMediaListsTests.apiAddMovieToPlayListTest","2976",""
"passed","api.AddMediaToWatchlistTests.apiAddMovieToFavoriteTest","3413",""
"passed","web.searchMediaTests.webEmptySearchTest","4323",""
"passed","api.CheckMediaListsTests.apiRemoveMovieFromPlayListTest","3046",""
"passed","web.addMovieToFavoriteTests.webAddingMovieToFavoriteTest","5317",""
"passed","web.addTvShowToFavoriteTests.webAddingTvShowToFavoriteTest","4800",""
"passed","web.searchMediaTests.webSearchTvShowTest","4905",""
"passed","api.SearchTests.webEmptySearchTest","129",""
"passed","api.AddMediaToFavoriteTests.apiAddingMovieToFavoriteTest","3460",""
"passed","api.CheckMediaListsTests.apiDeletePlayListTest","341",""
